gene	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT3G28890	0.325299	0.120703	0.231161	0	0	0	0.0237615	0.03757505	0.1094305	0.0518608	0	0
AT3G29153	0	0	0	0	0	0	0	0	0	0.0194022	0.0209227	0
AT3G29560	0	0	0	0	0	0	0	0	0.0818695	0	0	0
AT3G29578	0	2.44e-05	0	0	0	0	6.14e-06	1.03e-06	0	0	2.84e-06	1.76e-05
AT3G29800	0.457043	0	4.92878	0	0	0	0	0	0	0	0	0
AT3G30110	0.105676	1.266005	0.121443	0.204591	0	0.121754	0	0	0	0	0	0
AT3G30580	0.686367	0	0	0	0	0	0	0	0	0	0	0.99481
AT3G30727	0	0.0439398	0.0242272	0	0	0	0	0	0	0	0	0
AT3G31068	0	0	0	0	0	0	0	0	0	0	0	0
AT3G42830	0	0	0	0	0	0	0.204345	0.2859905	0.156868	0	0	0
AT3G43310	0	0.155624	0.0353398	0	0	0	0	0	0.0164695	0	0.150726	0
AT3G43580	1.50267	1.019276	1.26695	0	0	2.2603	3.18702	2.71771	2.75017	0.741993	0.970613	0
AT3G43710	0.335728	0.188068	0	0	0	0	0	0	0	0	0	0
AT3G43900	0	0	0	0	0	0	0	0	0	0	0	0
AT3G43910	1.6915	0	0.171898	0	0	0	0	0	0	0	0	0
AT3G44096	0.0489	1.65e-06	0.294	0	0	0	3.77e-07	2.55e-07	1.67e-07	0	0.0996	0
AT3G44120	0.308951	0.145947	3.69463	0	0	0.0332414	0.0385102	0.102703	0.1641515	0.288212	0.418024	0
AT3G44640	0.221	0.0974	0	0	0	0	0	0	4.21e-06	0	0.103	0
AT3G44770	4.17881	31.3411	5.56247	70.2672	59.9719	2.46587	0.683648	0.6245835	0.4778005	0.33187	0.0775604	0
AT3G44780	0	0.84885	0	0	0	0	0	0.0247852	0.04085815	0	0.176834	0
AT3G44830	0.0231803	0.38211	0	0	0	0	0	0.232207	0.229079	3.3102	16.2953	0
AT3G45000	1.0936	159.464	0	0	0	1.14681	0.919944	0.369768	0.183799	0	0	0
AT3G45160	1.43919	0	0	0.330173	0	0	0	0	0	0	0	32.3303
AT3G45170	0.188934	0.2688375	0	0	0	0	0	0	0	0	0	0
AT3G45460	0.889669	0	2.26752	0	0	0	0	0	0	0	0	0
AT3G45560	1.3917	0.99517	1.54752	0	0	0	0	0	0	0	0.0766724	0
AT3G45580	0.432963	0	0.112735	0	0	0	0	0	0	0	0	0
AT3G46080	0.399363	0	0	0	0	0.164201	0.191971	0.0921325	0	0	0	2.420946
AT3G46370	0.546501	0	0.191616	0.068713	4.66784	0.0365553	0	0.00615465	0.026077	0	0	0.550354
AT3G46570	0.0588252	0.3280105	1.00789	0	0	0	0	0	0	0	0	0
AT3G46613	0	0	0	0	0	0	0	0.1241745	0.4235235	0	0	0
AT3G46910	0.153057	0.113513	0.523383	0.112909	0	0.401714	0.0777005	0.10615725	0.03085325	0	0.47352	0
AT3G47150	0	0	0.0652787	0	0	0	0	0.07540445	0	0	0.207712	0
AT3G47710	0	0	0	0	0	0	0	0	0	0	0.593712	0
AT3G48185	8.52112	1.256058	0	0	0	0.561686	0	10.65254	53.81875	50.1022	62.5848	0.7169
AT3G48260	0.426709	0	0	0	0	0	0	0	0	0	0	1.350195
AT3G48275	0	0	0	0	0	0	0	0	0	0	0	0
AT3G48340	0.218537	0.834735	0	0	0	0	0	0	0	0	0	18.5584
AT3G49020	0.886577	0	3.31925	0	0	0.16303	0	0	0	0	0	0
AT3G49130	0	0.4952785	0	0	0	0	0.0817589	0.0833959	0	0	0.103133	0
AT3G49307	0	0	0	0	0	0.105409	0.252515	0.913728	1.920955	0.369322	0	0
AT3G49580	1.13123	0	0	0	0	0	3.96953	0	0	0	0	5.273695
AT3G50170	1.35649	0.2026715	0.0738904	0	0	0	0	0.0075328	0	0	0	0
AT3G50970	20.6165	0.412871	0	0	0	1.21217	0	0	0	1.79568	71.8475	33.09205
AT3G51060	1.65482	0	0.0501084	0	0	14.03	21.7667	2.642615	0.4693715	1.18822	0.873859	0.231725
AT3G51190	2.03292	0.891593	15.6069	0	0	0	0	0.01735545	0	0	0	0
AT3G51420	13.7722	4.19635	12.5932	0	0	0	0	0.3058745	1.914155	1.69744	10.5259	8.70869
AT3G51550	44.0794	85.80345	0.182602	0	0.0372655	12.6345	14.3085	16.58605	17.9254	47.1959	71.246	64.9856
AT3G51890	4.76986	0.299322	1.06087	5.10734	0.414858	15.0776	8.4092	15.0447	46.0885	65.331	109.405	3.934725
AT3G52490	3.38204	0	0.36885	0	0	3.413	2.96135	3.026095	2.378725	3.69069	2.63135	3.5463
AT3G52510	0.160085	0.747595	0.114118	0	0	0	0	0	0	0	0	0.3318545
AT3G52690	0.571165	0.437435	1.44696	0	0	0	0	0	0	0	0	0
AT3G53232	1.09913	0	0.519748	0	0	0	0	0	2.501555	2.73467	1.94909	7.009105
AT3G54340	101.806	0.612385	0	0	0	0.211394	0.510417	0.174165	0.1511005	0.0884118	0.707141	0.3448355
AT3G55590	1.60452	0.3988805	8.197	0	0	0	0.111789	0	0	0	0	0
AT3G55680	0.0733399	0	0	0	0	0	0	0	0	0	0	0
AT3G55970	2.87309	0	0.322881	0	0	0	0	0	0.0269182	0	0.0825281	0
AT3G56780	0.527374	0	0.865523	1.73362	0	1.76042	0.730498	0.3724895	0.1368049	0.133998	0.155907	0
AT3G57260	0.307549	0.221477	0	0	0	0	0	0	0	0	0	0
AT3G57460	2.3854	0.492612	0	0	0	0	0	0.0130016	0	0	0	0
AT3G58000	15.4479	0	0	0	0	0	0	0	0.07264	0	8.55646	0
AT3G58210	1.31388	0.595365	4.07188	0	6.7871	7.93834	1.36655	0.2852942	0	0	0	0
AT3G58250	1.00558	0.2468075	1.25535	0	0	0	0	0	0	0	0	0
AT3G58390	0.950294	0.4792095	0.292568	0	0	0	0.0772669	0	0	0.156881	0	0
AT3G58440	1.90216	4.349065	3.13725	0	0	0.0477722	0	0	0	0	0	0
AT3G58780	14.4809	0.20813	0	0	0	0.413923	0.285459	0.164478	0.1228417	0	0.418829	0.418712
AT3G59230	1.05527	0.3114113	2.59391	0	0	0	0	0	0	0	0	0
AT3G59790	0.179947	0.6301965	0	0	0	0	0.439062	0.1443315	0.03104475	0.144178	0	0
