gene_ID	Flower	Meiocyte	Microspore	Veg	Spm	Preglobular	Globular	Heart	Torpedo	BentCotyledon	MatureGreen	Seedling
AT4G19880	10.722	7.908115	9.41191	0	0	1.77781	2.09511	2.92936	2.48093	2.86308	4.00023	17.5968
AT4G19890	3.42683	32.52825	0.495878	0	0	1.44339	2.11858	2.508785	2.1786	3.87726	3.65805	1.95449
AT4G19900	6.62585	8.600665	1.97548	0	0	4.32689	4.3264	3.934215	3.217195	5.91116	4.2245	2.670235
AT4G19902	0	0	0	0	0	0	0	0	0	0	0	0
AT4G19905	0	0	0	0	0	27.0699	143.185	21.7407	0	0	0	0
AT4G19910	0	2.14821	0	0	0	0	0	0	0	0	0	0
AT4G19920	0	0.7147635	0.11968	0	0	0.0543536	0	0.0327964	0.02512555	0	0	0.940428
AT4G19925	0.037047	0	0.194033	0	0	0	0	0	0	0	0	0
AT4G19930	0.10528	0	0.157579	0	0	0	0	0	0	0	0	0
AT4G19940	0.169027	6.338615	0.369201	0	0	0	0	0.0150471	0	0	0	0
AT4G19950	1.693	23.9187	1.57153	15.6919	0.928052	0.164191	0.0413992	0.07914015	0.2895675	0.14348	2.68637	0
AT4G19960	3.76693	0.526724	6.51888	0.793089	6.52776	0.741382	0.500276	0.836492	0.4006605	0.952421	0.823025	3.323575
AT4G19970	0.413892	0	0	0	1.72975	0.0291039	0	0.2169015	0.2027265	0	0	0.6937985
AT4G19980	2.68856	0	0	0	0	0	0.363914	2.213965	4.33374	0.928152	0	2.35286
AT4G19985	21.4804	11.9841	10.2158	10.2743	1.69584	7.03863	12.5803	18.7442	26.48065	17.4596	17.6527	3.905235
AT4G19990	5.29438	7.12907	1.09411	0	0	1.19125	1.4145	1.7374	1.47226	2.74052	3.18104	2.11742
AT4G20000	0	0.662625	0	0	0	0	0	0	0	0	0	8.706885
AT4G20006	0	0	0	0	0	0	0	0	0	0	0	0
AT4G20010	12.8029	54.6538	2.33073	0.173248	28.8356	26.0117	28.4923	34.3989	34.5	23.0541	12.6251	1.596815
AT4G20020	18.1256	65.52455	19.7984	0	0	61.5324	63.1568	43.13085	33.56365	22.0181	18.758	8.563515
